Date,# of Registrations,# of Comments,# of Posts Created
2019-08-01,1,2,6
2019-08-02,3,3,3
2019-08-03,3,2,1
2019-08-04,2,4,
2019-08-05,2,,4
2019-08-06,3,2,5
2019-08-07,1,2,3
2019-08-08,,2,5
2019-08-09,3,2,2
2019-08-10,2,,4
2019-08-11,3,1,
2019-08-12,3,4,1
2019-08-13,4,2,2
2019-08-14,2,2,2
2019-08-15,,4,1
2019-08-16,,2,4
2019-08-17,1,1,3
2019-08-18,4,3,8
2019-08-19,3,3,3
2019-08-20,6,1,3
2019-08-21,1,1,
2019-08-22,2,1,
2019-08-23,3,,
2019-08-24,3,1,2
2019-08-25,4,,3
2019-08-26,1,3,
2019-08-27,1,2,
2019-08-28,3,3,2
2019-08-29,5,1,1
2019-08-30,3,,5
2019-08-31,1,3,3
2019-09-01,2,1,3
2019-09-02,1,1,4
2019-09-03,2,4,1
2019-09-04,2,4,2
2019-09-05,4,1,
2019-09-06,3,4,3
2019-09-07,3,1,4
2019-09-08,3,,3
2019-09-09,,,1
2019-09-10,4,2,
2019-09-11,2,1,3
2019-09-12,1,1,3
2019-09-13,2,1,1
2019-09-14,4,2,3
2019-09-15,1,3,4
2019-09-16,5,1,3
2019-09-17,,3,5
2019-09-18,1,1,1
2019-09-19,1,3,3
2019-09-20,4,1,5
2019-09-21,2,4,3
2019-09-22,4,9,1
2019-09-23,1,2,4
2019-09-24,1,2,3
2019-09-25,1,3,1
2019-09-26,3,,2
2019-09-27,5,2,4
2019-09-28,3,3,1
2019-09-29,3,1,2
2019-09-30,4,2,3
2019-10-01,4,1,6
2019-10-02,4,2,1
2019-10-03,2,4,2
2019-10-04,4,,3
2019-10-05,2,,2
2019-10-06,4,6,1
2019-10-07,1,3,4
2019-10-08,1,4,1
2019-10-09,2,2,2
2019-10-10,2,4,2
2019-10-11,3,4,4
2019-10-12,2,4,1
2019-10-13,,3,1
2019-10-14,,3,4
2019-10-15,1,4,2
2019-10-16,4,3,1
2019-10-17,,2,2
2019-10-18,1,2,3
2019-10-19,6,3,
2019-10-20,1,4,3
2019-10-21,2,1,2
2019-10-22,3,2,3
2019-10-23,1,4,3
2019-10-24,1,1,2
2019-10-25,1,2,3
2019-10-26,1,1,2
2019-10-27,2,3,2
2019-10-28,2,2,3
2019-10-29,2,1,4
2019-10-30,2,2,
2019-10-31,1,,5
2019-11-01,2,3,5
2019-11-02,1,3,4
2019-11-03,2,4,1
2019-11-04,3,,2
2019-11-05,1,,2
2019-11-06,,2,2
2019-11-07,1,2,1
2019-11-08,3,1,2
2019-11-09,4,1,3
2019-11-10,3,,5
2019-11-11,1,1,
2019-11-12,1,5,3
2019-11-13,3,1,2
2019-11-14,2,2,4
2019-11-15,2,5,
2019-11-16,5,,1
2019-11-17,4,2,2
2019-11-18,2,2,2
2019-11-19,2,4,
2019-11-20,3,1,1
2019-11-21,3,5,3
2019-11-22,2,3,2
2019-11-23,3,1,7
2019-11-24,2,,1
2019-11-25,2,,2
2019-11-26,2,1,4
2019-11-27,3,3,2
2019-11-28,2,4,
2019-11-29,1,3,4
2019-11-30,,1,
2019-12-01,3,2,4
2019-12-02,5,1,2
2019-12-03,4,1,2
2019-12-04,2,2,1
2019-12-05,1,3,4
2019-12-06,,2,3
2019-12-07,3,2,
2019-12-08,,4,2
2019-12-09,2,2,
2019-12-10,2,1,
2019-12-11,1,2,1
2019-12-12,2,3,1
2019-12-13,1,1,1
2019-12-14,3,2,5
2019-12-15,1,2,
2019-12-16,2,3,2
2019-12-17,,4,2
2019-12-18,,2,3
2019-12-19,3,2,1
2019-12-20,2,1,2
2019-12-21,3,3,4
2019-12-22,1,5,4
2019-12-23,2,,3
2019-12-24,3,4,1
2019-12-25,2,1,3
2019-12-26,1,,3
2019-12-27,4,3,1
2019-12-28,,2,
2019-12-29,2,2,
2019-12-30,,2,4
